Column1,genre,year,word,freq
2,성인가요,1964,거리,10
16,성인가요,1964,마음,12
7,성인가요,1964,가슴,11
14,성인가요,1964,밤,12
17,성인가요,1964,보고,10
17,성인가요,1964,그,20
17,성인가요,1964,마도,11
18,성인가요,1964,로스,11
0,성인가요,1965,내,13
5,성인가요,1965,말,10
1,성인가요,1965,이,14
20,성인가요,1965,마음,13
4,성인가요,1966,그,11
6,성인가요,1966,내,13
4,성인가요,1966,길,14
6,성인가요,1966,밤,15
12,성인가요,1966,살,25
12,성인가요,1966,가슴,16
16,성인가요,1966,말,14
22,성인가요,1966,사랑,18
2,성인가요,1966,아하,15
1,성인가요,1967,마음,40
2,성인가요,1967,그,37
8,성인가요,1967,사랑,78
12,성인가요,1967,말,22
15,성인가요,1967,가슴,10
0,성인가요,1967,내,26
2,성인가요,1967,사람,21
8,성인가요,1967,수,11
10,성인가요,1967,못,15
13,성인가요,1967,길,11
15,성인가요,1967,울,11
18,성인가요,1967,나,23
9,성인가요,1967,꽃,13
2,성인가요,1967,때,10
2,성인가요,1967,아가씨,15
12,성인가요,1967,여자,18
22,성인가요,1967,그대,12
1,성인가요,1967,예뻐져요,11
19,성인가요,1967,가면,11
5,성인가요,1967,우리,12
8,성인가요,1968,마음,22
9,성인가요,1968,낙엽,10
15,성인가요,1968,당신,16
17,성인가요,1968,사랑,31
23,성인가요,1968,그,19
4,성인가요,1968,그리운,10
5,성인가요,1968,사람,10
7,성인가요,1968,밤,11
8,성인가요,1968,내,11
4,성인가요,1968,길,13
17,성인가요,1968,꽃,11
23,성인가요,1968,가슴,14
23,성인가요,1968,나,11
27,성인가요,1968,이,15
0,성인가요,1968,안녕,12
13,성인가요,1969,사랑,35
19,성인가요,1969,가슴,15
22,성인가요,1969,눈물,12
0,성인가요,1969,날,10
0,성인가요,1969,그,34
1,성인가요,1969,사람,33
2,성인가요,1969,내,30
1,성인가요,1969,당신,18
9,성인가요,1969,다시,11
12,성인가요,1969,길,13
9,성인가요,1969,그대,11
4,성인가요,1970,내,12
7,성인가요,1970,사랑,35
11,성인가요,1970,정,10
18,성인가요,1970,사람,15
20,성인가요,1970,그,19
2,성인가요,1970,윙크,12
11,성인가요,1970,나,10
12,성인가요,1970,바보,12
24,성인가요,1970,사나이,13
20,성인가요,1970,당신,12
2,성인가요,1970,난,12
4,성인가요,1970,길,12
0,성인가요,1971,사랑,26
5,성인가요,1971,내,13
1,성인가요,1971,사람,13
4,성인가요,1971,눈물,11
7,성인가요,1971,고향,10
8,성인가요,1971,세월,12
17,성인가요,1971,그,22
2,성인가요,1971,그대,11
4,성인가요,1971,님,11
8,성인가요,1971,마음,11
10,성인가요,1971,꿈,10
3,성인가요,1971,슬픔,10
17,성인가요,1971,댄스,18
0,성인가요,1972,당신,13
24,성인가요,1972,생각,12
26,성인가요,1972,말,26
3,성인가요,1972,그,21
9,성인가요,1972,저,19
10,성인가요,1972,멀리,12
17,성인가요,1972,나,18
10,성인가요,1972,사람,12
0,성인가요,1972,그대,11
5,성인가요,1972,조용히,10
10,성인가요,1972,사랑,23
25,성인가요,1972,내,20
8,성인가요,1972,달,39
24,성인가요,1972,님,14
0,성인가요,1972,오라오라,24
18,성인가요,1973,나,37
42,성인가요,1973,그,36
1,성인가요,1973,그대,10
6,성인가요,1973,마음,25
7,성인가요,1973,말,12
12,성인가요,1973,당신,16
4,성인가요,1973,사랑,30
11,성인가요,1973,혼자,10
12,성인가요,1973,날,12
5,성인가요,1973,내,17
10,성인가요,1973,있어요,13
11,성인가요,1973,생각,12
12,성인가요,1973,다시,18
7,성인가요,1973,헬로,16
0,성인가요,1973,왜,14
11,성인가요,1974,나,16
0,성인가요,1974,좋아해,16
1,성인가요,1974,당신,13
9,성인가요,1974,못,21
10,성인가요,1974,살,19
19,성인가요,1974,사랑,38
22,성인가요,1974,마음,10
9,성인가요,1974,내,19
11,성인가요,1974,곁,10
12,성인가요,1974,있어,10
13,성인가요,1974,주,10
0,성인가요,1974,노래,16
1,성인가요,1974,곳,14
0,성인가요,1974,서로,19
5,성인가요,1975,날,20
11,성인가요,1975,마음,10
6,성인가요,1975,너,10
0,성인가요,1975,나,33
1,성인가요,1975,정말,11
13,성인가요,1975,사랑,20
15,성인가요,1975,그,10
18,성인가요,1975,말,17
15,성인가요,1975,내,12
10,성인가요,1975,쨍,11
11,성인가요,1975,해뜰,11
2,성인가요,1976,눈,24
8,성인가요,1976,내,28
12,성인가요,1976,알,10
15,성인가요,1976,말,14
16,성인가요,1976,나,12
17,성인가요,1976,마음,28
0,성인가요,1976,그누,12
2,성인가요,1976,사랑,20
0,성인가요,1976,당신,20
13,성인가요,1976,님,11
0,성인가요,1977,꽃,12
5,성인가요,1977,눈,13
21,성인가요,1977,사랑,13
22,성인가요,1977,너,28
23,성인가요,1977,마음,15
1,성인가요,1977,말,27
14,성인가요,1977,내,15
8,성인가요,1977,우리,10
8,성인가요,1977,그,15
10,성인가요,1977,빵빵,12
4,성인가요,1977,목화,32
5,성인가요,1977,밭,32
15,성인가요,1977,멀리,10
19,성인가요,1977,정말,14
7,성인가요,1977,아니야,13
2,성인가요,1977,사촌,10
11,성인가요,1978,나,20
21,성인가요,1978,당신,21
6,성인가요,1978,사랑,36
20,성인가요,1978,말,12
6,성인가요,1978,눈물,18
7,성인가요,1978,하늘,10
2,성인가요,1978,편지,12
10,성인가요,1978,마음,26
12,성인가요,1978,날,15
14,성인가요,1978,생각,13
20,성인가요,1978,내,22
2,성인가요,1978,그,24
19,성인가요,1978,없어요,11
17,성인가요,1978,꿈,12
23,성인가요,1978,맘,11
15,성인가요,1978,순이,12
0,성인가요,1979,맨,18
3,성인가요,1979,생각,11
12,성인가요,1979,날,10
13,성인가요,1979,꿈,10
23,성인가요,1979,혼자,12
24,성인가요,1979,말,19
3,성인가요,1979,나,36
2,성인가요,1979,밤,10
46,성인가요,1979,내,19
47,성인가요,1979,마음,15
50,성인가요,1979,사랑,14
15,성인가요,1979,너,28
6,성인가요,1979,당신,11
21,성인가요,1979,때,11
0,성인가요,1979,아리송해,22
4,성인가요,1980,그,20
18,성인가요,1980,세월,13
0,성인가요,1980,내,16
1,성인가요,1980,마음,22
6,성인가요,1980,그대,17
9,성인가요,1980,사랑,15
14,성인가요,1980,때,11
0,성인가요,1980,나,28
1,성인가요,1980,행복합니다,18
27,성인가요,1980,곳,10
4,성인가요,1980,소녀,12
0,성인가요,1980,당신,16
2,성인가요,1980,길,11
8,성인가요,1980,제,12
9,성인가요,1980,광구,12
1,성인가요,1981,나,54
4,성인가요,1981,엄마,10
5,성인가요,1981,왜,10
16,성인가요,1981,마음,28
17,성인가요,1981,하늘,11
27,성인가요,1981,길,17
4,성인가요,1981,당신,12
12,성인가요,1981,생각,11
18,성인가요,1981,손,10
30,성인가요,1981,사랑,29
38,성인가요,1981,바람,11
5,성인가요,1981,너,15
12,성인가요,1981,내,22
15,성인가요,1981,그,28
3,성인가요,1981,밤,13
11,성인가요,1981,노래,10
1,성인가요,1981,돌담,15
0,성인가요,1982,그,23
8,성인가요,1982,노래,14
12,성인가요,1982,밤,12
21,성인가요,1982,당신,21
0,성인가요,1982,내,24
1,성인가요,1982,마음,13
9,성인가요,1982,사랑,49
22,성인가요,1982,곁,10
26,성인가요,1982,여인,33
11,성인가요,1982,것,41
17,성인가요,1982,나,25
