,genre,year,word,freq
3,국내영화,1993,그대,13
15,국내영화,1993,사랑,14
24,국내영화,1993,내,10
10,"댄스, 성인가요",1987,나,11
11,"댄스, 성인가요",1987,그대,10
6,"록/메탈, 포크/블루스",1989,코뿔소,15
7,"록/메탈, 포크/블루스",1989,응,11
0,"발라드, 포크/블루스",1994,나,12
1,"발라드, 포크/블루스",1994,너,10
3,"발라드, 포크/블루스",1994,그대,12
5,"발라드, 포크/블루스",1994,사랑,14
0,"발라드, 포크/블루스",1995,나,12
1,"발라드, 포크/블루스",1995,너,10
3,"발라드, 포크/블루스",1995,그대,12
5,"발라드, 포크/블루스",1995,사랑,14
6,"발라드, 포크/블루스",1996,사랑,15
11,"발라드, 포크/블루스",1996,이,11
15,"발라드, 포크/블루스",1996,널,14
11,"록/메탈, 국내드라마",2018,너,10
19,"록/메탈, 국내드라마",2019,너,36
20,"록/메탈, 국내드라마",2019,말,10
15,"록/메탈, 국내드라마",2020,내,13
19,"록/메탈, 국내드라마",2020,너,37
20,"록/메탈, 국내드라마",2020,말,15
21,"록/메탈, 국내드라마",2020,지금,10
1,"발라드, 국내드라마",2000,그대,32
18,"발라드, 국내드라마",2000,수,10
31,"발라드, 국내드라마",2000,나,10
1,"발라드, 국내드라마",2001,그대,32
18,"발라드, 국내드라마",2001,수,10
31,"발라드, 국내드라마",2001,나,10
17,"발라드, 국내드라마",2002,나,11
2,"발라드, 국내드라마",2003,날,11
5,"발라드, 국내드라마",2004,너,13
20,"발라드, 국내드라마",2004,사랑,10
4,"발라드, 국내드라마",2005,내,11
6,"발라드, 국내드라마",2005,그대,13
20,"발라드, 국내드라마",2005,나,14
0,"발라드, 국내드라마",2006,너,31
1,"발라드, 국내드라마",2006,사랑,27
11,"발라드, 국내드라마",2006,내,16
30,"발라드, 국내드라마",2006,난,23
36,"발라드, 국내드라마",2006,나,13
11,"발라드, 국내드라마",2007,날,12
1,"발라드, 국내드라마",2008,내,13
26,"발라드, 국내드라마",2008,사랑,16
3,"발라드, 국내드라마",2008,그대,21
3,"발라드, 국내드라마",2010,사람,22
13,"발라드, 국내드라마",2010,난,10
14,"발라드, 국내드라마",2010,너,13
18,"발라드, 국내드라마",2010,사랑,31
19,"발라드, 국내드라마",2010,내,21
47,"발라드, 국내드라마",2010,그,13
6,"발라드, 국내드라마",2010,나,12
0,"발라드, 국내드라마",2013,사랑,35
9,"발라드, 국내드라마",2013,그대,22
19,"발라드, 국내드라마",2013,내,34
21,"발라드, 국내드라마",2013,그,21
25,"발라드, 국내드라마",2013,나,34
26,"발라드, 국내드라마",2013,눈물,16
9,"발라드, 국내드라마",2013,사람,25
7,"발라드, 국내드라마",2013,하나,15
16,"발라드, 국내드라마",2013,날,14
45,"발라드, 국내드라마",2013,가슴,12
17,"발라드, 국내드라마",2013,너,30
11,"발라드, 국내드라마",2013,생각,10
1,"발라드, 국내드라마",2014,내,31
3,"발라드, 국내드라마",2014,너,23
10,"발라드, 국내드라마",2014,널,10
13,"발라드, 국내드라마",2014,니,12
25,"발라드, 국내드라마",2014,나,15
59,"발라드, 국내드라마",2014,사랑,45
2,"발라드, 국내드라마",2014,말,14
10,"발라드, 국내드라마",2014,그,21
11,"발라드, 국내드라마",2014,더,14
17,"발라드, 국내드라마",2014,눈물,14
35,"발라드, 국내드라마",2014,맘,14
14,"발라드, 국내드라마",2014,그대,24
22,"발라드, 국내드라마",2014,이,11
10,"발라드, 국내드라마",2015,그,11
15,"발라드, 국내드라마",2015,사랑,21
18,"발라드, 국내드라마",2015,말,10
26,"발라드, 국내드라마",2015,내,19
36,"발라드, 국내드라마",2015,너,14
25,"발라드, 국내드라마",2015,그대,12
1,"발라드, 국내드라마",2015,곁,10
22,"발라드, 국내드라마",2015,나,12
0,"발라드, 국내드라마",2016,내,43
1,"발라드, 국내드라마",2016,곁,15
5,"발라드, 국내드라마",2016,그대,53
14,"발라드, 국내드라마",2016,생각,10
18,"발라드, 국내드라마",2016,바람,10
