Source,Target,Weight
가슴(N),가(P),7
가슴(N),남(P),8
가슴(N),뛰(P),11
가슴(N),뜨겁(P),8
가슴(N),비(P),14
가슴(N),쌓이(P),7
가슴(N),아프(P),28
가슴(N),작(P),7
가슴(N),태우(P),7
가을(N),오(P),7
가을(N),흐리(P),11
거리(N),걷(P),7
걸(N),스치(P),8
경아(N),돌아오(P),8
곁(N),떠나(P),14
곁(N),떠나가(P),9
곁(N),머물(P),8
곁(N),없(P),7
곁(N),있(P),26
곳(N),가(P),16
곳(N),깊(P),14
곳(N),멀(P),7
곳(N),쉬(P),11
곳(N),어둡(P),8
곳(N),없(P),11
그날(N),오(P),10
그날(N),잊(P),8
그리움(N),남(P),9
그리움(N),쌓이(P),14
기쁨(N),되(P),10
기억(N),나(P),7
기억(N),슬프(P),9
기억(N),아름답(P),7
기억(N),잊(P),12
기억(N),하(P),7
길(N),가(P),17
길(N),걷(P),23
길(N),떠나가(P),8
길(N),멀(P),14
길(N),있(P),8
길(N),찾(P),9
길(N),하(P),9
꿈(N),꾸(P),19
꿈(N),보(P),7
꿈(N),없(P),7
꿈(N),있(P),13
꿈(N),찾(P),8
나라(N),새파랗(P),8
나라(N),파랗(P),10
나리(N),모(P),27
낙엽(N),떨어지(P),7
날(N),가(P),14
날(N),기다리(P),7
날(N),떠나(P),12
날(N),만나(P),15
날(N),아름답(P),19
날(N),울(P),10
날(N),위하(P),15
날(N),이렇(P),9
날(N),잊(P),13
날(N),지나(P),25
날(N),하(P),8
내일(N),찾아오(P),8
네(N),가(P),21
노래(N),부르(P),10
노래(N),슬프(P),10
눈(N),감(P),44
눈(N),뜨(P),22
눈(N),맺히(P),8
눈(N),바라보(P),11
눈(N),슬프(P),7
눈(N),잊(P),8
눈(N),젖(P),7
눈(N),흐르(P),8
눈물(N),나(P),9
눈물(N),뜨겁(P),9
눈물(N),보(P),9
눈물(N),없(P),14
눈물(N),흐르(P),36
눈물(N),흘리(P),40
님(N),떠나(P),11
다디다담(N),담(P),16
다디담(N),담(P),24
달(N),보(P),7
담다디(N),담(P),16
대답(N),없(P),7
도네(N),돌아가네(P),7
뒤(N),흐르(P),8
때(N),가(P),9
때(N),그리(P),7
때(N),기쁘(P),7
때(N),슬프(P),8
때(N),오(P),7
때(N),있(P),9
때(N),하(P),12
라디오(N),켜(P),20
라디오(N),크(P),18
르네(N),부(P),7
리(N),슬프(P),8
리(N),싫(P),8
리(N),울(P),12
마(N),가지(P),7
마음(N),깊(P),13
마음(N),떠나(P),8
마음(N),모르(P),13
마음(N),보(P),9
마음(N),비(P),8
마음(N),새파랗(P),8
마음(N),슬프(P),21
마음(N),아프(P),18
마음(N),알(P),20
마음(N),없(P),17
마음(N),열(P),7
마음(N),있(P),18
마음(N),주(P),18
마음(N),하(P),8
말(N),떠나(P),12
말(N),수줍(P),9
말(N),싫(P),7
말(N),없(P),24
말(N),있(P),7
말(N),하(P),117
말(N),흘리(P),7
맘(N),아프(P),7
모두(N),부질없(P),7
모두(N),사라지(P),7
모습(N),그리(P),8
모습(N),멀(P),7
모습(N),보(P),18
모습(N),사라지(P),8
모습(N),슬프(P),10
모습(N),아름답(P),9
모습(N),없(P),7
몸살(N),하(P),8
미싱(N),돌아가네(P),7
바람(N),가(P),7
바람(N),따르(P),8
바람(N),불(P),49
바람(N),불어오(P),8
바람(N),스치(P),10
바람(N),오(P),14
바람아(N),멈추(P),9
발걸음(N),돌아서(P),7
밤(N),가(P),11
밤(N),길(P),7
밤(N),깊(P),8
밤(N),어둡(P),15
밤(N),없(P),11
밤(N),오(P),13
밤(N),외롭(P),12
밤(N),잠들(P),10
밤(N),지나(P),8
밤(N),하얗(P),7
별(N),되(P),7
별(N),보(P),10
별(N),빛나(P),8
볼(N),없(P),11
비(N),내리(P),31
비(N),맞(P),10
비(N),오(P),16
빗물(N),같(P),7
사람(N),가(P),20
사람(N),그렇(P),11
사람(N),그립(P),8
사람(N),되(P),9
사람(N),떠나(P),15
사람(N),떠나가(P),12
사람(N),많(P),16
사람(N),보(P),13
사람(N),싫(P),10
사람(N),없(P),9
사람(N),오(P),12
사랑(N),가(P),11
사랑(N),감(P),10
사랑(N),같(P),10
사랑(N),그(P),8
사랑(N),그렇(P),9
사랑(N),남(P),11
사랑(N),남기(P),9
사랑(N),느끼(P),8
사랑(N),돌아서(P),12
사랑(N),되(P),31
사랑(N),떠나(P),33
사랑(N),떠나가(P),19
사랑(N),르(P),10
사랑(N),만나(P),11
사랑(N),모르(P),13
사랑(N),받(P),16
사랑(N),변하(P),8
사랑(N),보(P),8
사랑(N),살(P),7
사랑(N),슬프(P),20
사랑(N),아름답(P),28
사랑(N),아프(P),9
사랑(N),알(P),21
사랑(N),없(P),35
사랑(N),울(P),16
사랑(N),이렇(P),9
사랑(N),잃어버리(P),7
사랑(N),있(P),53
사랑(N),잊(P),52
사랑(N),주(P),11
사랑(N),찾(P),14
사랑(N),철없(P),10
사랑(N),하(P),70
상처(N),남(P),8
새(N),가(P),7
새(N),날아가(P),9
새(N),되(P),7
생각(N),나(P),21
생각(N),없(P),8
생각(N),잊(P),7
생각(N),하(P),15
세상(N),많(P),9
세상(N),변하(P),7
세상(N),아름답(P),15
세상(N),없(P),8
세월(N),가(P),9
세월(N),잃어버리(P),8
세월(N),지나가(P),10
세월(N),하(P),8
세월(N),흐르(P),18
세월(N),흘러가(P),8
세월(N),흩(P),8
세월속(N),지나(P),8
소리(N),없(P),8
소용(N),없(P),10
속(N),있(P),10
손(N),잡(P),30
수(N),없(P),12
순간(N),만나(P),7
스(N),잘(P),13
슬픔(N),가(P),10
시간(N),많(P),8
시간(N),지나(P),9
시간(N),흘러가(P),11
시절(N),가(P),9
시절(N),어리(P),10
시절(N),지나(P),9
아침(N),오(P),7
아침(N),이르(P),7
얘기(N),스치(P),8
얘기(N),하(P),14
어둠(N),깊(P),9
어른(N),되(P),8
얼굴(N),보(P),13
여인(N),가(P),8
영화(N),슬프(P),8
옛날(N),울(P),8
오늘(N),울(P),8
웃음(N),보이(P),7
웃음(N),짓(P),8
위(N),하(P),7
으(N),남(P),7
이름(N),부르(P),9
이름(N),없(P),8
이밤(N),지나(P),9
이별(N),슬프(P),8
이별(N),싫(P),7
이별(N),없(P),14
이별(N),하(P),16
이상(N),없(P),8
이제(N),가(P),12
이제(N),느끼(P),10
이제(N),되(P),14
이제(N),떠나(P),8
이제(N),떠나가(P),8
이제(N),보(P),7
이제(N),슬프(P),10
이제(N),알(P),8
이제(N),없(P),34
이제(N),있(P),7
이제(N),잊(P),20
이제(N),하(P),11
일(N),없(P),9
일(N),지나(P),9
일(N),하(P),9
입(N),맞추(P),7
잠(N),들(P),16
전(N),하(P),10
줄(N),없(P),7
지(N),가(P),7
지마라(N),가(P),10
지울수(N),없(P),8
착각(N),지나치(P),8
창가(N),앉(P),7
창문(N),열(P),8
처음(N),만나(P),13
첫사랑(N),아름답(P),7
추억(N),남기(P),8
추억(N),슬프(P),8
추억(N),아름답(P),17
추억(N),잊(P),8
추억(N),지나(P),16
추억(N),지나가(P),7
춤(N),추(P),20
편지(N),쓰(P),11
표정(N),없(P),7
하늘(N),바라보(P),7
하늘(N),보(P),9
하늘(N),하(P),8
하늘(N),흐리(P),11
한마음(N),새파랗(P),8
한숨(N),젊(P),7
해(N),뜨(P),10
햇살(N),눈부시(P),7
혼자(N),느끼(P),7
혼자(N),울(P),10
혼자(N),하(P),8
후(N),되(P),8
후(N),떠나(P),9
후회(N),하(P),8
