ids,Year,Source,Target,Weight
0,1985,가슴(N),남(P),5
1,1985,가슴(N),작(P),6
2,1985,건강(N),좋(P),6
3,1985,곁(N),가(P),8
4,1985,곁(N),떠나가(P),7
5,1985,곳(N),멀(P),6
6,1985,길(N),가(P),7
7,1985,길(N),떠나(P),5
8,1985,길(N),멀(P),5
9,1985,내일(N),가(P),5
10,1985,네(N),주(P),7
11,1985,눈물(N),젖(P),6
12,1985,님(N),떠나가(P),5
13,1985,님(N),살펴주(P),8
14,1985,마음(N),보(P),6
15,1985,마음(N),약하(P),6
16,1985,마음(N),없(P),7
17,1985,말(N),없(P),8
18,1985,말(N),하(P),13
19,1985,바람(N),불어오(P),5
20,1985,바보(N),같(P),9
21,1985,밤(N),어둡(P),7
22,1985,밤(N),피(P),5
23,1985,버선(N),벗(P),6
24,1985,비(N),내리(P),25
25,1985,사람(N),모르(P),7
26,1985,사람(N),주(P),6
27,1985,사랑(N),같(P),20
28,1985,사랑(N),되(P),7
29,1985,사랑(N),떨(P),10
30,1985,사랑(N),모르(P),5
31,1985,사랑(N),보(P),5
32,1985,사랑(N),빠지(P),13
33,1985,사랑(N),알(P),8
34,1985,사랑(N),어렵(P),6
35,1985,사랑(N),없(P),9
36,1985,사랑(N),있(P),10
37,1985,사랑(N),잊(P),13
38,1985,사랑(N),주(P),6
39,1985,사랑(N),하(P),10
40,1985,외로움(N),빠지(P),5
41,1985,우(N),내리(P),7
42,1985,이제(N),벗어나(P),18
43,1985,잠(N),오(P),12
44,1985,잠(N),지(P),8
45,1985,장미(N),같(P),10
46,1985,장미(N),떨(P),7
47,1985,장미(N),피(P),5
48,1985,조(N),날(P),8
49,1985,타(N),날(P),8
50,1985,편지(N),쓰(P),5
51,1985,하(N),피(P),5
52,1985,행복(N),주(P),6
53,1985,화분(N),작(P),10
54,1985,후(N),싫(P),6
0,1986,가슴(N),비(P),7
1,1986,곁(N),오(P),5
2,1986,곁(N),있(P),9
3,1986,곳(N),가(P),6
4,1986,곳(N),깊(P),5
5,1986,국화(N),타(P),6
6,1986,길(N),서(P),5
7,1986,나라(N),보(P),6
8,1986,나라(N),새파랗(P),8
9,1986,나라(N),파랗(P),10
10,1986,날(N),슬프(P),5
11,1986,네(N),가(P),7
12,1986,눈(N),가(P),5
13,1986,눈(N),흐르(P),6
14,1986,눈물(N),흘리(P),7
15,1986,눈빛(N),머물(P),5
16,1986,때(N),가(P),7
17,1986,라디오(N),켜(P),20
18,1986,라디오(N),크(P),18
19,1986,마음(N),깊(P),6
20,1986,마음(N),새파랗(P),8
21,1986,마음(N),있(P),6
22,1986,마음(N),주(P),10
23,1986,말(N),하(P),21
24,1986,바다(N),눕(P),6
25,1986,바람(N),불(P),6
26,1986,불(N),밝히(P),5
27,1986,비(N),내리(P),5
28,1986,빛(N),밝(P),6
29,1986,사람(N),떠나(P),6
30,1986,사람(N),떠나가(P),5
31,1986,사람(N),모이(P),6
32,1986,사람(N),없(P),5
33,1986,사랑(N),떠나(P),10
34,1986,사랑(N),떠나가(P),5
35,1986,사랑(N),없(P),5
36,1986,사랑(N),있(P),17
37,1986,사랑(N),잊(P),5
38,1986,사랑(N),철없(P),7
39,1986,사랑(N),하(P),17
40,1986,새(N),가(P),7
41,1986,새(N),간(P),6
42,1986,새(N),되(P),7
43,1986,생각(N),나(P),5
44,1986,세월(N),흐르(P),5
45,1986,손(N),잡(P),8
46,1986,수요일(N),빨갛(P),5
47,1986,스(N),잘(P),13
48,1986,어둠(N),깊(P),6
49,1986,이제(N),꾸(P),5
50,1986,이제(N),잊(P),9
51,1986,일(N),좋아하(P),5
52,1986,자리(N),있(P),6
53,1986,장미(N),빨갛(P),5
54,1986,하늘(N),하(P),6
55,1986,한마음(N),새파랗(P),8
56,1986,황혼(N),타(P),6
0,1987,가슴(N),작(P),5
1,1987,경아(N),돌아오(P),8
2,1987,곁(N),떠나(P),5
3,1987,기억(N),나(P),5
4,1987,꿈(N),꾸(P),7
5,1987,꿈(N),예쁘(P),5
6,1987,날(N),이렇(P),8
7,1987,날(N),잃어버리(P),6
