Id,Label,time
가슴(N),가슴(N),"<[1985,1991];[1993,1993];[1995,1995];[1997,1997];[1999,2000];[2002,2015];[2019,2019];>"
그리(P),그리(P),"<[2016,1985];[1987,1987];[1989,1990];[1993,1993];>"
남(P),남(P),"<[1985,1989];[1992,1992];[1994,1999];[2002,2007];[2011,2013];[2016,2016];[2018,2018];>"
뜨겁(P),뜨겁(P),"<[1985,1985];[1987,1987];[2003,2004];[2008,2009];[2011,2012];>"
작(P),작(P),"<[1985,1985];[2017,1988];[1992,1992];[1998,1998];[2000,2000];[2003,2003];[2007,2008];[2011,2011];>"
저리(P),저리(P),"<[1985,1985];>"
하(P),하(P),"<[1985,2019];>"
흔들리(P),흔들리(P),"<[1985,1985];[2001,2001];[2015,2015];>"
건강(N),건강(N),"<[1985,1985];>"
좋(P),좋(P),"<[1985,1985];[1987,1988];[1990,1991];[1995,1995];[1997,2019];>"
겨울비(N),겨울비(N),"<[1985,1985];>"
내려오(P),내려오(P),"<[2016,1985];>"
적시(P),적시(P),"<[1985,1985];[2010,2010];[2013,2013];>"
곁(N),곁(N),"<[1985,1987];[1989,1989];[1991,2010];[2012,2017];[2019,2019];>"
가(P),가(P),"<[1985,2019];>"
떠나가(P),떠나가(P),"<[1985,1987];[1990,1990];[1995,1995];[1997,1997];[2000,2000];[2002,2003];[2007,2010];[2012,2012];>"
있(P),있(P),"<[1985,2019];>"
고독(N),고독(N),"<[1985,1985];[1995,1995];>"
밀(P),밀(P),"<[1985,1985];[1990,1990];>"
곳(N),곳(N),"<[1985,1994];[1996,2009];[2011,2019];>"
멀(P),멀(P),"<[1985,1985];[1987,1987];[1990,1990];[1994,1996];[1998,2002];[2007,2007];[2010,2011];>"
구름(N),구름(N),"<[1985,1985];[2002,1989];>"
되(P),되(P),"<[1985,1988];[1990,2019];>"
그날(N),그날(N),"<[1985,1985];[1987,1987];[1990,1991];[2003,2003];>"
없(P),없(P),"<[1985,2019];>"
오(P),오(P),"<[1985,1989];[1991,1992];[1994,2001];[2003,2019];>"
길(N),길(N),"<[1985,1987];[1989,1999];[2001,2003];[2005,2008];[2010,2010];[2012,2014];[2016,2019];>"
떠나(P),떠나(P),"<[1985,1998];[2000,2008];[2010,2015];>"
험하(P),험하(P),"<[1985,1985];[1997,1997];>"
꽃잎(N),꽃잎(N),"<[2016,1985];>"
피어나(P),피어나(P),"<[1985,1985];>"
남(N),남(N),"<[2016,1986];[2017,2017];[2019,1995];[1999,1999];[2005,2005];[2010,2012];>"
내일(N),내일(N),"<[1985,1985];[2018,1989];[1992,1992];[2006,2006];[2008,2008];[2011,2011];[2015,2015];>"
네(N),네(N),"<[1985,1987];[1990,1990];[1995,1995];[2007,2009];>"
주(P),주(P),"<[1985,1986];[1988,1990];[1993,1993];[1995,1995];[1997,2000];[2002,2008];[2010,2010];[2013,2019];>"
눈(N),눈(N),"<[1985,2019];>"
감(P),감(P),"<[1985,1989];[1991,1992];[1995,1995];[1997,2019];>"
맺히(P),맺히(P),"<[1985,1985];[1987,1987];[1989,1989];>"
눈물(N),눈물(N),"<[1985,2017];[2019,2019];>"
젖(P),젖(P),"<[1985,1985];[2018,1987];[1992,1992];[1999,1999];[2009,2009];[2011,2011];>"
흘리(P),흘리(P),"<[1985,2007];[2009,2010];[2015,2015];[2019,2019];>"
님(N),님(N),"<[1985,1985];[1987,1987];[2019,1994];[2003,2003];>"
살펴주(P),살펴주(P),"<[1985,1985];>"
소(P),소(P),"<[1985,1985];>"
잊(P),잊(P),"<[1985,1994];[1996,2007];[2009,2010];[2012,2013];[2019,2019];>"
리네(N),리네(N),"<[1985,1985];[1995,1995];>"
마음(N),마음(N),"<[1985,2009];[2011,2013];[2015,2019];>"
걷(P),걷(P),"<[2016,1986];[1989,1990];[1993,1993];[2001,2001];[2003,2003];[2005,2008];[2012,2014];>"
보(P),보(P),"<[1985,1988];[1990,1991];[1993,2019];>"
아프(P),아프(P),"<[1985,1985];[1987,1990];[1996,1998];[2000,2019];>"
약하(P),약하(P),"<[1985,1985];[2003,2003];[2005,2005];[2007,2007];>"
마차(N),마차(N),"<[1985,1985];>"
타(P),타(P),"<[1985,1987];[2018,1990];[2006,2006];[2008,2008];[2015,2015];>"
말(N),말(N),"<[1985,2019];>"
찾(P),찾(P),"<[1985,1985];[1987,1987];[1989,1989];[1991,1993];[1995,1995];[1997,2000];[2003,2008];[2011,2012];[2015,2015];[2017,2017];[2019,2019];>"
머리(N),머리(N),"<[1985,1985];[2019,2002];[2012,2013];[2015,2015];>"
모습(N),모습(N),"<[1985,1985];[1987,2002];[2006,2006];[2008,2008];[2010,2010];[2012,2012];[2014,2014];>"
쳐다보(P),쳐다보(P),"<[1985,1985];>"
바람(N),바람(N),"<[1985,1992];[2017,2000];[2006,2006];[2008,2008];[2011,2015];>"
불어오(P),불어오(P),"<[1985,1985];>"
스치(P),스치(P),"<[1985,1985];[1990,1990];[1997,1997];[2012,2013];>"
울리(P),울리(P),"<[1985,1985];[1988,1988];[2012,2012];>"
바보(N),바보(N),"<[1985,1985];[1991,1991];[1996,1996];[1999,1999];[2001,2013];[2015,2016];[2018,2019];>"
같(P),같(P),"<[1985,1985];[1988,1989];[1994,1997];[1999,2019];>"
발길(N),발길(N),"<[1985,1985];[1989,1989];[1991,1991];>"
부딪히(P),부딪히(P),"<[1985,1985];[1996,1989];>"
밤(N),밤(N),"<[1985,1993];[1998,1998];[2000,2008];[2010,2019];>"
어둡(P),어둡(P),"<[1985,1985];[1990,1991];[1999,1999];[2005,2005];>"
외롭(P),외롭(P),"<[1985,1989];[1992,1992];[2003,2003];[2010,2010];>"
피(P),피(P),"<[2016,1988];[2018,2005];[2008,2008];[2011,2013];>"
밤비(N),밤비(N),"<[1985,1985];>"
내리(P),내리(P),"<[1985,1986];[1988,1994];[1996,1998];[2001,2001];[2003,2003];[2005,2009];[2011,2011];[2014,2017];>"
방황(N),방황(N),"<[1985,1985];>"
이렇(P),이렇(P),"<[1985,1985];[1987,1987];[1991,1993];[1995,1997];[2000,2000];[2002,2002];[2005,2006];[2008,2013];[2015,2017];[2019,2019];>"
버선(N),버선(N),"<[1985,1985];>"
벗(P),벗(P),"<[1985,1985];>"
별(N),별(N),"<[2016,1985];[2018,1988];[2019,1990];[1993,1993];[2001,2003];[2005,2006];[2008,2008];[2012,2012];>"
반짝이(P),반짝이(P),"<[1985,1985];[1993,1993];>"
비(N),비(N),"<[1985,1995];[1997,1998];[2001,2001];[2003,2003];[2006,2006];[2008,2012];[2014,2014];[2016,2018];>"
사람(N),사람(N),"<[1985,1987];[1989,2019];>"
많(P),많(P),"<[1985,1985];[1987,1987];[1989,1990];[1992,1992];[1994,2007];[2011,2011];[2014,2019];>"
모르(P),모르(P),"<[1985,1987];[1989,1989];[1991,1992];[1994,1995];[1997,1997];[1999,2019];>"
살(P),살(P),"<[1985,1985];[1989,1989];[1992,1993];[1995,1997];[1999,2000];[2002,2008];[2011,2016];[2019,2019];>"
사랑(N),사랑(N),"<[1985,2019];>"
그립(P),그립(P),"<[1985,1988];[2017,1992];[1994,1994];[2004,2005];[2015,2015];>"
느끼(P),느끼(P),"<[1985,1986];[1991,1996];[1998,2000];[2002,2003];[2010,2010];[2013,2015];>"
떨(P),떨(P),"<[1985,1985];[2015,2015];>"
빠지(P),빠지(P),"<[2016,1985];[1996,1998];[2001,2005];[2007,2008];[2012,2012];[2014,2014];>"
알(P),알(P),"<[1985,1986];[1988,2007];[2009,2019];>"
어렵(P),어렵(P),"<[1985,1985];>"
자(P),자(P),"<[1985,1985];[2018,1995];[2010,2010];>"
산(N),산(N),"<[1985,1986];[1997,1997];>"
상처(N),상처(N),"<[1985,1985];[2017,1989];[1994,1994];[1999,1999];[2001,2003];[2006,2006];[2009,2010];[2012,2012];[2014,2015];>"
세상(N),세상(N),"<[1985,1986];[1988,1990];[1993,2003];[2005,2012];[2014,2014];[2016,2016];[2018,2018];>"
세월(N),세월(N),"<[1985,1991];[1993,1993];[1997,1997];[2004,2004];>"
지나(P),지나(P),"<[1985,1985];[1987,1991];[1993,1998];[2000,2002];[2005,2005];[2007,2010];[2012,2012];[2014,2018];>"
손(N),손(N),"<[1985,1988];[1990,1992];[1994,1995];[1997,2010];[2012,2019];>"
솔밭길(N),솔밭길(N),"<[1985,1985];>"
걸(P),걸(P),"<[2016,1985];[1994,1994];[2008,2009];[2012,2012];[2015,2015];>"
슬픔(N),슬픔(N),"<[1985,1985];[1987,1990];[1992,1992];[1994,1994];[1998,1998];[2003,2003];[2006,2006];[2009,2009];[2012,2012];>"
신(N),신(N),"<[1985,1985];[1996,1996];[2002,2002];[2004,2004];[2006,2006];[2008,2009];>"
영동교(N),영동교(N),"<[1985,1985];>"
오(N),오(N),"<[1985,1986];[2017,1989];[1992,1992];[2000,2000];[2003,2003];[2009,2011];[2014,2015];>"
외로움(N),외로움(N),"<[1985,1986];[1989,1989];[1997,1999];>"
욕심(N),욕심(N),"<[1985,1985];[2014,2014];>"
용기(N),용기(N),"<[1985,1985];[1990,1990];[2002,2002];[2004,2004];[2008,2008];[2012,2012];>"
우(N),우(N),"<[1985,1985];[2019,2003];[2011,2011];[2013,2013];>"
운명(N),운명(N),"<[1985,1985];[2017,1996];[2000,2000];[2004,2005];>"
강(P),강(P),"<[1985,1985];>"
유혹(N),유혹(N),"<[1992,1985];>"
대(P),대(P),"<[1985,1985];[1988,1989];[1994,1994];[1996,1996];[2002,2002];[2006,2006];[2008,2008];[2010,2010];>"
이몸(N),이몸(N),"<[1985,1985];>"
이밤(N),이밤(N),"<[1985,1985];[2001,1991];>"
때(P),때(P),"<[1985,1985];[2010,2010];>"
지나가(P),지나가(P),"<[1985,1985];[2017,2017];[2019,1988];[1991,1992];[1994,1994];[1998,1998];[2003,2003];[2008,2008];>"
이세상(N),이세상(N),"<[1985,1985];[1989,1989];[1998,1998];>"
태어나(P),태어나(P),"<[1985,1985];[1989,1989];[2000,2001];[2004,2004];[2009,2009];>"
이제(N),이제(N),"<[1985,2016];[2018,2019];>"
벗어나(P),벗어나(P),"<[1985,1985];[1997,1997];[2006,2006];>"
잠(N),잠(N),"<[2016,1986];[2017,1988];[2018,1996];[1998,1999];[2005,2005];[2007,2007];[2009,2009];[2012,2015];>"
깨(P),깨(P),"<[1985,1985];[2017,2014];>"
젊(P),젊(P),"<[1989,1985];[1997,1997];>"
지(P),지(P),"<[1985,1985];[2019,1988];[1994,1994];[2001,2001];[2003,2004];[2009,2009];>"
장미(N),장미(N),"<[1985,1986];>"
조(N),조(N),"<[1985,1985];>"
날(P),날(P),"<[1985,1987];[1994,1994];[2003,2003];[2005,2005];[2007,2007];[2009,2009];>"
지(N),지(N),"<[1985,1985];[2017,1988];[1990,1990];[1994,1994];[1996,1996];[1998,1999];[2003,2003];[2006,2006];[2008,2008];[2010,2012];>"
지난시절(N),지난시절(N),"<[1985,1985];>"
창(N),창(N),"<[1985,1985];[2014,2014];>"
바람들(P),바람들(P),"<[1985,1985];>"
