,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio
word,가슴,거리,곁,곳,구름,그날,그때,그리움,기억,길,꽃,꿈,끝,날,남,남자,내일,네,노래,눈,눈물,눈빛,님,달,뒤,때,마,마음,마지막,말,맘,머리,모습,목소리,몸,미소,미안,바다,바람,바보,밤,별,비,빛,사람,사랑,삶,상처,생각,서로,세상,세월,소리,속,손,순간,숨,슬픔,시간,시작,아침,아픔,안,앞,약속,얘기,얼굴,여자,영원,오,오늘,웃음,위,음,이름,이별,이상,이유,이제,인생,일,입술,잠,전,조금,지,지금,집,처음,추억,친구,필요,하늘,하루,해,행복,향기,혼자,후회,힘
year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,0.5263157894736842,0.5263157894736842,0.0,0.05263157894736842,0.15789473684210525,0.0,0.0,0.10526315789473684,0.0,0.21052631578947367,0.10526315789473684,0.15789473684210525,0.0,0.2631578947368421,0.0,0.0,0.15789473684210525,0.15789473684210525,0.10526315789473684,0.3157894736842105,0.15789473684210525,0.0,0.21052631578947367,0.10526315789473684,0.10526315789473684,0.3157894736842105,0.15789473684210525,0.47368421052631576,0.0,0.3157894736842105,0.0,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.631578947368421,0.15789473684210525,0.2631578947368421,0.15789473684210525,0.10526315789473684,0.5789473684210527,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.21052631578947367,0.3684210526315789,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.3157894736842105,0.0,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.0,0.05263157894736842,0.10526315789473684,0.0,0.0,0.0,0.0,0.3157894736842105,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.0,0.0,0.10526315789473684,0.15789473684210525,0.05263157894736842,0.05263157894736842,0.0,0.0,0.2631578947368421,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684,0.0,0.0
1965,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.4,0.6,0.1,0.2,0.4,0.0,0.0,0.0,0.2,0.1,0.1,0.0,0.3,0.0,0.0,0.4,0.0,1.3,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.2,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.1,0.2,0.0,0.0,0.0
1966,0.5833333333333334,0.08333333333333333,0.0,0.041666666666666664,0.16666666666666666,0.0,0.0,0.125,0.0,0.4166666666666667,0.2916666666666667,0.375,0.0,0.20833333333333334,0.0,0.16666666666666666,0.0,0.041666666666666664,0.125,0.125,0.375,0.0,0.16666666666666666,0.041666666666666664,0.0,0.375,0.0,0.4583333333333333,0.0,0.375,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.0,0.6666666666666666,0.041666666666666664,0.16666666666666666,0.0,0.25,1.0416666666666667,0.0,0.041666666666666664,0.125,0.0,0.16666666666666666,0.041666666666666664,0.375,0.125,0.2916666666666667,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.0,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.0,0.0,0.0,0.0,0.20833333333333334,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.20833333333333334,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.25,0.0,0.0,0.041666666666666664,0.0,0.16666666666666666,0.0,0.0
1967,0.2571428571428571,0.08571428571428572,0.0,0.0,0.05714285714285714,0.05714285714285714,0.0,0.14285714285714285,0.0,0.34285714285714286,0.3142857142857143,0.0,0.0,0.2571428571428571,0.0,0.0,0.11428571428571428,0.11428571428571428,0.08571428571428572,0.2,0.08571428571428572,0.0,0.14285714285714285,0.11428571428571428,0.05714285714285714,0.34285714285714286,0.05714285714285714,1.2571428571428571,0.0,0.5714285714285714,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.0,0.08571428571428572,0.0,0.0,0.02857142857142857,0.17142857142857143,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.11428571428571428,0.6285714285714286,2.3142857142857145,0.0,0.0,0.11428571428571428,0.0,0.0,0.05714285714285714,0.08571428571428572,0.14285714285714285,0.0,0.08571428571428572,0.0,0.02857142857142857,0.11428571428571428,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.0,0.2571428571428571,0.3142857142857143,0.0,0.0,0.08571428571428572,0.02857142857142857,0.02857142857142857,0.14285714285714285,0.22857142857142856,0.0,0.0,0.0,0.0,0.0,0.17142857142857143,0.0,0.02857142857142857,0.2857142857142857,0.08571428571428572,0.05714285714285714,0.0,0.02857142857142857,0.0,0.11428571428571428,0.0,0.0,0.11428571428571428,0.0,0.14285714285714285,0.02857142857142857,0.0,0.05714285714285714,0.0,0.0
1968,0.5,0.23076923076923078,0.0,0.038461538461538464,0.0,0.0,0.0,0.23076923076923078,0.0,0.6153846153846154,0.23076923076923078,0.38461538461538464,0.0,0.19230769230769232,0.07692307692307693,0.038461538461538464,0.0,0.0,0.07692307692307693,0.19230769230769232,0.19230769230769232,0.0,0.34615384615384615,0.07692307692307693,0.0,0.15384615384615385,0.0,0.8461538461538461,0.0,0.038461538461538464,0.0,0.0,0.07692307692307693,0.038461538461538464,0.15384615384615385,0.0,0.0,0.038461538461538464,0.11538461538461539,0.0,0.38461538461538464,0.19230769230769232,0.11538461538461539,0.19230769230769232,0.46153846153846156,1.2692307692307692,0.0,0.0,0.15384615384615385,0.11538461538461539,0.07692307692307693,0.11538461538461539,0.23076923076923078,0.19230769230769232,0.0,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.0,0.23076923076923078,0.23076923076923078,0.038461538461538464,0.0,0.038461538461538464,0.0,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.11538461538461539,0.0,0.0,0.11538461538461539,0.0,0.0,0.07692307692307693,0.0,0.11538461538461539,0.038461538461538464,0.11538461538461539,0.038461538461538464,0.0,0.0
1969,0.6333333333333333,0.06666666666666667,0.1,0.23333333333333334,0.1,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.43333333333333335,1.5,0.23333333333333334,0.0,0.36666666666666664,0.0,0.0,0.03333333333333333,0.0,0.1,0.03333333333333333,0.7,0.06666666666666667,0.6333333333333333,0.06666666666666667,0.0,0.36666666666666664,0.0,0.36666666666666664,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.23333333333333334,0.1,0.06666666666666667,0.0,1.1333333333333333,2.4,0.0,0.13333333333333333,0.3,0.2,0.03333333333333333,0.1,0.0,0.26666666666666666,0.03333333333333333,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.03333333333333333,0.0,0.06666666666666667,0.1,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.23333333333333334,0.03333333333333333,0.06666666666666667,0.0,0.03333333333333333,0.03333333333333333,0.0,0.1,0.0,0.0,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.0,0.13333333333333333,0.0,0.03333333333333333,0.2,0.1,0.26666666666666666,0.03333333333333333,0.0
1970,0.2857142857142857,0.09523809523809523,0.047619047619047616,0.0,0.0,0.0,0.0,0.09523809523809523,0.09523809523809523,0.5714285714285714,0.047619047619047616,0.09523809523809523,0.0,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.19047619047619047,0.38095238095238093,0.0,0.09523809523809523,0.0,0.0,0.2857142857142857,0.09523809523809523,0.9523809523809523,0.0,0.23809523809523808,0.19047619047619047,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.047619047619047616,0.09523809523809523,0.5714285714285714,0.23809523809523808,0.0,0.09523809523809523,0.0,0.8095238095238095,1.9047619047619047,0.0,0.2857142857142857,0.14285714285714285,0.0,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.14285714285714285,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.047619047619047616,0.047619047619047616,0.47619047619047616,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.09523809523809523,0.0,0.09523809523809523,0.14285714285714285,0.047619047619047616,0.0,0.047619047619047616,0.0
1971,0.34615384615384615,0.0,0.07692307692307693,0.23076923076923078,0.0,0.0,0.0,0.07692307692307693,0.0,0.19230769230769232,0.15384615384615385,0.46153846153846156,0.15384615384615385,0.19230769230769232,0.11538461538461539,0.0,0.07692307692307693,0.11538461538461539,0.038461538461538464,0.23076923076923078,0.3076923076923077,0.0,0.5384615384615384,0.11538461538461539,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.46153846153846156,0.0,0.34615384615384615,0.0,0.0,0.0,0.038461538461538464,0.2692307692307692,0.0,0.0,0.2692307692307692,0.2692307692307692,0.0,0.3076923076923077,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.6153846153846154,1.3461538461538463,0.0,0.038461538461538464,0.15384615384615385,0.0,0.0,0.46153846153846156,0.15384615384615385,0.038461538461538464,0.38461538461538464,0.11538461538461539,0.0,0.3076923076923077,0.038461538461538464,0.0,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.0,0.2692307692307692,0.0,0.038461538461538464,0.0,0.11538461538461539,0.07692307692307693,0.11538461538461539,0.34615384615384615,0.0,0.19230769230769232,0.0,0.0,0.15384615384615385,0.038461538461538464,0.0,0.0,0.038461538461538464,0.0,0.0,0.11538461538461539,0.3076923076923077,0.038461538461538464,0.0,0.07692307692307693,0.0,0.0,0.23076923076923078,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,0.0
