,genre,year,song_id,title,line,word,class,tag_orig
0,성인가요,1964,4083218,내일또 만납시다,4,차,Adjective,VA
0,성인가요,1964,4083218,내일또 만납시다,6,가볍,Adjective,VA
0,성인가요,1964,4083218,내일또 만납시다,12,차,Adjective,VA
0,성인가요,1964,4083218,내일또 만납시다,14,가볍,Adjective,VA
0,성인가요,1964,1003023,눈물의 연평도,9,많,Adjective,VA
0,성인가요,1964,1754987,님이라 부르리까,3,그립,Adjective,VA
0,성인가요,1964,1002782,동백아가씨,0,수많,Adjective,VA
0,성인가요,1964,1002782,동백아가씨,1,겹,Adjective,VA
0,성인가요,1964,1002782,동백아가씨,5,빨갛,Adjective,VA
0,성인가요,1964,1002782,동백아가씨,12,외롭,Adjective,VA
0,성인가요,1964,1003568,떠날때는 말없이,2,똑같,Adjective,VA
0,성인가요,1964,1003568,떠날때는 말없이,3,똑같,Adjective,VA
0,성인가요,1964,1003568,떠날때는 말없이,5,즐겁,Adjective,VA
0,성인가요,1964,1185251,맨발의 청춘,12,외롭,Adjective,VA
0,성인가요,1964,1185251,맨발의 청춘,12,슬프,Adjective,VA
0,성인가요,1964,1185251,맨발의 청춘,13,험하,Adjective,VA
0,성인가요,1964,1185251,맨발의 청춘,17,머나멀,Adjective,VA
0,성인가요,1964,3622464,밀짚모자 목장아가씨,6,넓다랗,Adjective,VA
0,성인가요,1964,3622464,밀짚모자 목장아가씨,6,푸르,Adjective,VA
0,성인가요,1964,3622464,밀짚모자 목장아가씨,14,넓다랗,Adjective,VA
0,성인가요,1964,3622464,밀짚모자 목장아가씨,14,푸르,Adjective,VA
0,록/메탈,1964,2517558,빗속의 여인 (1964년작),2,노오랗,Adjective,VA
0,록/메탈,1964,2517558,빗속의 여인 (1964년작),3,검,Adjective,VA
0,록/메탈,1964,2517558,빗속의 여인 (1964년작),5,검,Adjective,VA
0,록/메탈,1964,2517558,빗속의 여인 (1964년작),11,검,Adjective,VA
0,성인가요,1964,467498,빨간구두 아가씨,4,빨갛,Adjective,VA
0,성인가요,1964,467498,빨간구두 아가씨,9,빨갛,Adjective,VA
0,성인가요,1964,467498,빨간구두 아가씨,9,멀,Adjective,VA
0,성인가요,1964,1324501,소쩍새 우는 마을,2,좋,Adjective,VA
0,성인가요,1964,1324501,소쩍새 우는 마을,5,쓰,Adjective,VA
0,성인가요,1964,1324501,소쩍새 우는 마을,5,시끄럽,Adjective,VA
0,성인가요,1964,1324501,소쩍새 우는 마을,7,좋,Adjective,VA
0,성인가요,1964,992864,아메리칸 마도로스,1,많,Adjective,VA
0,성인가요,1964,3621978,아빠 안녕,6,모질,Adjective,VA
0,성인가요,1964,1936373,영등포의 밤,0,없,Adjective,VA
0,성인가요,1964,1936373,영등포의 밤,6,아,Adjective,VA
0,성인가요,1964,1936373,영등포의 밤,11,어,Adjective,VA
0,성인가요,1964,1936373,영등포의 밤,16,아,Adjective,VA
0,성인가요,1964,1714082,이국땅,1,많,Adjective,VA
0,성인가요,1964,1925260,저녁 한때 목장풍경,0,끝없,Adjective,VA
0,성인가요,1964,1925260,저녁 한때 목장풍경,2,외롭,Adjective,VA
0,성인가요,1964,1925260,저녁 한때 목장풍경,8,구슬프,Adjective,VA
0,성인가요,1964,1925260,저녁 한때 목장풍경,10,끝없,Adjective,VA
0,성인가요,1964,1925260,저녁 한때 목장풍경,12,외롭,Adjective,VA
0,성인가요,1964,1185247,진고개 신사,12,~,Adjective,VA
0,성인가요,1964,1714068,첫사랑 마도로스,0,푸르르,Adjective,VA
0,성인가요,1964,1714068,첫사랑 마도로스,2,그립,Adjective,VA
0,성인가요,1965,1324508,내 이름은 소녀,0,많,Adjective,VA
0,성인가요,1965,1324508,내 이름은 소녀,1,많,Adjective,VA
0,성인가요,1965,1324508,내 이름은 소녀,3,예쁘,Adjective,VA
0,성인가요,1965,1324508,내 이름은 소녀,5,곱,Adjective,VA
0,성인가요,1965,1324508,내 이름은 소녀,6,많,Adjective,VA
0,성인가요,1965,1324508,내 이름은 소녀,7,많,Adjective,VA
0,성인가요,1965,1324508,내 이름은 소녀,11,곱,Adjective,VA
0,성인가요,1965,3607035,누가 이사람을 모르시나요 (남과북 주제가),2,곱,Adjective,VA
0,성인가요,1965,3607035,누가 이사람을 모르시나요 (남과북 주제가),7,부드럽,Adjective,VA
0,성인가요,1965,3607035,누가 이사람을 모르시나요 (남과북 주제가),8,없,Adjective,VA
0,성인가요,1965,4620827,산넘어 남촌에는,4,싫,Adjective,VA
0,성인가요,1965,4620827,산넘어 남촌에는,5,좋,Adjective,VA
0,성인가요,1965,4620827,산넘어 남촌에는,8,넓,Adjective,VA
0,성인가요,1965,4620827,산넘어 남촌에는,16,싫,Adjective,VA
0,성인가요,1965,4620827,산넘어 남촌에는,17,좋,Adjective,VA
0,성인가요,1965,191058,아빠의 청춘,0,같,Adjective,VA
0,성인가요,1965,191058,아빠의 청춘,5,프,Adjective,VA
0,성인가요,1965,191058,아빠의 청춘,8,좋,Adjective,VA
0,성인가요,1965,191058,아빠의 청춘,9,없,Adjective,VA
0,성인가요,1965,191058,아빠의 청춘,10,착하,Adjective,VA
0,성인가요,1965,191058,아빠의 청춘,11,크,Adjective,VA
0,성인가요,1965,191058,아빠의 청춘,13,프,Adjective,VA
0,성인가요,1965,176245,월남의 달밤,0,멀,Adjective,VA
0,성인가요,1965,176245,월남의 달밤,0,멀,Adjective,VA
0,성인가요,1965,176245,월남의 달밤,5,그립,Adjective,VA
0,성인가요,1965,833079,정동대감,5,어리,Adjective,VA
0,성인가요,1965,833079,정동대감,5,차갑,Adjective,VA
0,성인가요,1965,833079,정동대감,9,멀,Adjective,VA
0,성인가요,1965,833079,정동대감,14,어리,Adjective,VA
0,성인가요,1965,833079,정동대감,19,멀,Adjective,VA
0,성인가요,1965,5674981,진주조개잡이,0,새파랗,Adjective,VA
0,성인가요,1965,5674981,진주조개잡이,1,즐겁,Adjective,VA
0,성인가요,1965,5674981,진주조개잡이,3,흥겹,Adjective,VA
0,성인가요,1965,5674981,진주조개잡이,3,젊,Adjective,VA
0,성인가요,1965,5674981,진주조개잡이,5,부푸르,Adjective,VA
0,성인가요,1965,5674981,진주조개잡이,7,새파랗,Adjective,VA
0,성인가요,1965,5674981,진주조개잡이,8,즐겁,Adjective,VA
0,성인가요,1965,5674981,진주조개잡이,10,흥겹,Adjective,VA
0,성인가요,1965,5674981,진주조개잡이,10,젊,Adjective,VA
0,성인가요,1965,5674981,진주조개잡이,12,부푸르,Adjective,VA
0,성인가요,1965,5674981,진주조개잡이,14,새파랗,Adjective,VA
0,성인가요,1965,5674981,진주조개잡이,15,즐겁,Adjective,VA
0,성인가요,1965,1005548,행복의 샘터,10,나,Adjective,VA
0,성인가요,1965,1005548,행복의 샘터,10,없,Adjective,VA
0,성인가요,1965,1005548,행복의 샘터,14,어리,Adjective,VA
0,성인가요,1965,1005548,행복의 샘터,18,넓,Adjective,VA
0,성인가요,1965,1002791,황포돛대,3,구슬프,Adjective,VA
0,성인가요,1965,1002791,황포돛대,9,서럽,Adjective,VA
0,성인가요,1966,3485992,고향무정,7,기름지,Adjective,VA
0,성인가요,1966,1002503,길잃은 철새,4,깊,Adjective,VA
0,성인가요,1966,1002503,길잃은 철새,6,깊,Adjective,VA
0,성인가요,1966,2740012,날씬한 아가씨끼리,1,답,Adjective,VA
0,성인가요,1966,2740012,날씬한 아가씨끼리,3,환하,Adjective,VA
0,성인가요,1966,2740012,날씬한 아가씨끼리,5,많,Adjective,VA
0,성인가요,1966,2740012,날씬한 아가씨끼리,7,부끄럽,Adjective,VA
0,성인가요,1966,2740012,날씬한 아가씨끼리,9,답,Adjective,VA
0,성인가요,1966,2740012,날씬한 아가씨끼리,13,답,Adjective,VA
0,성인가요,1966,2740012,날씬한 아가씨끼리,15,환하,Adjective,VA
0,성인가요,1966,2740012,날씬한 아가씨끼리,17,많,Adjective,VA
0,성인가요,1966,2740012,날씬한 아가씨끼리,19,부끄럽,Adjective,VA
0,성인가요,1966,2740012,날씬한 아가씨끼리,21,답,Adjective,VA
0,성인가요,1966,30700040,남성금지구역,2,새파랗,Adjective,VA
0,성인가요,1966,30700040,남성금지구역,4,렇,Adjective,VA
0,성인가요,1966,30700040,남성금지구역,4,부,Adjective,VA
0,성인가요,1966,30700040,남성금지구역,7,많,Adjective,VA
0,성인가요,1966,30700040,남성금지구역,9,그립,Adjective,VA
0,성인가요,1966,30700040,남성금지구역,10,없,Adjective,VA
0,성인가요,1966,30700040,남성금지구역,15,렇,Adjective,VA
0,성인가요,1966,30700040,남성금지구역,19,그렇,Adjective,VA
0,성인가요,1966,30700040,남성금지구역,19,싸하,Adjective,VA
0,성인가요,1966,992913,눈물을 감추고,5,쓰라리,Adjective,VA
0,성인가요,1966,992913,눈물을 감추고,14,쓰라리,Adjective,VA
0,성인가요,1966,1003821,덕수궁 돌담길,5,깊,Adjective,VA
0,성인가요,1966,1002285,동백꽃 피는 고향,0,그립,Adjective,VA
0,성인가요,1966,1002285,동백꽃 피는 고향,2,깊,Adjective,VA
0,성인가요,1966,1002285,동백꽃 피는 고향,6,멀,Adjective,VA
0,성인가요,1966,1002285,동백꽃 피는 고향,9,없,Adjective,VA
0,발라드,1966,1125269,동숙의 노래,5,없,Adjective,VA
0,발라드,1966,1125269,동숙의 노래,7,늦,Adjective,VA
0,발라드,1966,1125269,동숙의 노래,8,늦,Adjective,VA
0,발라드,1966,1125269,동숙의 노래,12,서럽,Adjective,VA
0,발라드,1966,1125269,동숙의 노래,15,짧,Adjective,VA
0,발라드,1966,1125269,동숙의 노래,17,뜨겁,Adjective,VA
0,발라드,1966,1125269,동숙의 노래,18,뜨겁,Adjective,VA
0,성인가요,1966,1936391,뜨거운 안녕,3,아프,Adjective,VA
0,성인가요,1966,1936391,뜨거운 안녕,6,뜨겁,Adjective,VA
0,성인가요,1966,1936391,뜨거운 안녕,6,뜨겁,Adjective,VA
0,성인가요,1966,1936391,뜨거운 안녕,11,그립,Adjective,VA
0,성인가요,1966,1936391,뜨거운 안녕,13,뜨겁,Adjective,VA
0,성인가요,1966,1936391,뜨거운 안녕,13,뜨겁,Adjective,VA
0,성인가요,1966,1749952,미워하지 않으리,1,아롱,Adjective,VA
0,성인가요,1966,1749952,미워하지 않으리,2,진하,Adjective,VA
0,성인가요,1966,1749952,미워하지 않으리,6,붉,Adjective,VA
0,성인가요,1966,193887,불나비,6,외롭,Adjective,VA
0,성인가요,1966,193887,불나비,7,많,Adjective,VA
0,성인가요,1966,2249739,살짜기 옵서에,2,짜,Adjective,VA
0,성인가요,1966,2249739,살짜기 옵서에,3,밝,Adjective,VA
0,성인가요,1966,2249739,살짜기 옵서에,3,어둡,Adjective,VA
0,성인가요,1966,2249739,살짜기 옵서에,4,짜,Adjective,VA
0,성인가요,1966,2249739,살짜기 옵서에,6,짜,Adjective,VA
0,성인가요,1966,2249739,살짜기 옵서에,7,그립,Adjective,VA
0,성인가요,1966,2249739,살짜기 옵서에,8,짜,Adjective,VA
0,성인가요,1966,2249739,살짜기 옵서에,10,그립,Adjective,VA
0,성인가요,1966,2249739,살짜기 옵서에,11,짜,Adjective,VA
0,성인가요,1966,2249739,살짜기 옵서에,12,외롭,Adjective,VA
0,성인가요,1966,2249739,살짜기 옵서에,13,짜,Adjective,VA
0,성인가요,1966,2249739,살짜기 옵서에,15,짜,Adjective,VA
0,성인가요,1966,2249739,살짜기 옵서에,17,짜,Adjective,VA
0,발라드,1966,1125300,아카시아의 마음,0,그렇,Adjective,VA
0,발라드,1966,1125300,아카시아의 마음,0,슬,Adjective,VA
0,성인가요,1966,1185254,엄처시하,1,수줍,Adjective,VA
0,성인가요,1966,1185254,엄처시하,5,무섭,Adjective,VA
0,성인가요,1966,1185254,엄처시하,8,크,Adjective,VA
0,성인가요,1966,1185254,엄처시하,16,크,Adjective,VA
0,성인가요,1966,1864969,울릉도 트위스트,3,아름답,Adjective,VA
0,성인가요,1966,1864969,울릉도 트위스트,4,붉,Adjective,VA
0,성인가요,1966,1864969,울릉도 트위스트,5,예쁘,Adjective,VA
0,성인가요,1966,1864969,울릉도 트위스트,13,어지럽,Adjective,VA
0,성인가요,1966,1864969,울릉도 트위스트,16,좋,Adjective,VA
0,성인가요,1966,1864969,울릉도 트위스트,24,아름답,Adjective,VA
0,성인가요,1966,1864969,울릉도 트위스트,25,붉,Adjective,VA
0,성인가요,1966,1864969,울릉도 트위스트,26,예쁘,Adjective,VA
0,성인가요,1966,1185249,종점,0,즐겁,Adjective,VA
0,성인가요,1966,1185249,종점,1,서럽,Adjective,VA
0,성인가요,1966,1185249,종점,2,없,Adjective,VA
0,성인가요,1966,1185249,종점,8,없,Adjective,VA
0,성인가요,1966,1185249,종점,9,짧,Adjective,VA
0,성인가요,1966,1185249,종점,11,많,Adjective,VA
0,성인가요,1966,833064,지평선은 말이없다,1,멀,Adjective,VA
0,성인가요,1966,833064,지평선은 말이없다,1,고,Adjective,VA
0,성인가요,1966,833064,지평선은 말이없다,3,그립,Adjective,VA
0,성인가요,1966,833064,지평선은 말이없다,4,없,Adjective,VA
0,성인가요,1966,833064,지평선은 말이없다,4,없,Adjective,VA
0,성인가요,1966,833064,지평선은 말이없다,5,드넓,Adjective,VA
0,성인가요,1966,833064,지평선은 말이없다,5,외롭,Adjective,VA
0,성인가요,1966,833064,지평선은 말이없다,6,뼈저리,Adjective,VA
0,성인가요,1966,833064,지평선은 말이없다,6,슬프,Adjective,VA
0,성인가요,1966,833064,지평선은 말이없다,7,차갑,Adjective,VA
0,성인가요,1966,833064,지평선은 말이없다,9,없,Adjective,VA
0,성인가요,1966,833064,지평선은 말이없다,9,없,Adjective,VA
0,발라드,1966,1125291,초우,1,갈,Adjective,VA
0,발라드,1966,1125291,초우,1,없,Adjective,VA
0,발라드,1966,1125291,초우,3,없,Adjective,VA
0,성인가요,1966,191057,충청도 아줌마,10,많,Adjective,VA
0,성인가요,1966,191057,충청도 아줌마,16,새롭,Adjective,VA
0,성인가요,1966,2740011,키다리 미스터 김,1,싱겁,Adjective,VA
0,성인가요,1966,2740011,키다리 미스터 김,1,크,Adjective,VA
0,성인가요,1966,2740011,키다리 미스터 김,4,크,Adjective,VA
0,성인가요,1966,2740011,키다리 미스터 김,5,싱겁,Adjective,VA
0,성인가요,1966,2740011,키다리 미스터 김,6,없,Adjective,VA
0,성인가요,1966,2740011,키다리 미스터 김,8,그렇,Adjective,VA
0,성인가요,1966,2740011,키다리 미스터 김,17,좋,Adjective,VA
0,성인가요,1966,2740011,키다리 미스터 김,27,없,Adjective,VA
0,성인가요,1966,2740011,키다리 미스터 김,28,없,Adjective,VA
0,성인가요,1966,2740011,키다리 미스터 김,29,없,Adjective,VA
0,성인가요,1966,833080,평양기생,4,변함없,Adjective,VA
0,성인가요,1966,833080,평양기생,5,괴롭,Adjective,VA
0,성인가요,1966,833080,평양기생,5,고,Adjective,VA
0,성인가요,1966,833080,평양기생,8,길,Adjective,VA
0,성인가요,1966,833080,평양기생,8,길,Adjective,VA
0,성인가요,1966,833080,평양기생,9,변함없,Adjective,VA
0,성인가요,1966,1749951,허무한 마음,10,없,Adjective,VA
0,성인가요,1966,1749951,허무한 마음,16,없,Adjective,VA
0,성인가요,1966,3620469,화진포에서 맺은 사랑,2,정,Adjective,VA
0,성인가요,1966,3620469,화진포에서 맺은 사랑,2,정,Adjective,VA
0,성인가요,1966,3620469,화진포에서 맺은 사랑,3,아름답,Adjective,VA
0,성인가요,1966,3620469,화진포에서 맺은 사랑,7,푸르,Adjective,VA
0,성인가요,1966,3620469,화진포에서 맺은 사랑,16,그립,Adjective,VA
0,성인가요,1966,3620469,화진포에서 맺은 사랑,16,그립,Adjective,VA
0,성인가요,1966,3620469,화진포에서 맺은 사랑,20,희,Adjective,VA
0,성인가요,1966,3620469,화진포에서 맺은 사랑,21,곱,Adjective,VA
0,성인가요,1966,3620469,화진포에서 맺은 사랑,21,곱,Adjective,VA
0,성인가요,1967,991634,갈대의 순정,4,약하,Adjective,VA
0,"국악, 국악가요",1967,179097,갑돌이와 갑순이,8,럽,Adjective,VA
0,"국악, 국악가요",1967,179097,갑돌이와 갑순이,9,럽,Adjective,VA
0,성인가요,1967,1661564,경상도 청년,4,검,Adjective,VA
0,성인가요,1967,1661564,경상도 청년,13,없,Adjective,VA
0,성인가요,1967,1661564,경상도 청년,14,점,Adjective,VA
0,성인가요,1967,1661564,경상도 청년,15,약하,Adjective,VA
0,성인가요,1967,903370,나는 곰이다,0,못나,Adjective,VA
0,성인가요,1967,903370,나는 곰이다,1,리,Adjective,VA
0,성인가요,1967,903370,나는 곰이다,1,좋,Adjective,VA
0,성인가요,1967,903370,나는 곰이다,2,없,Adjective,VA
0,성인가요,1967,903370,나는 곰이다,4,높,Adjective,VA
0,성인가요,1967,903370,나는 곰이다,6,험하,Adjective,VA
0,성인가요,1967,903370,나는 곰이다,12,못나,Adjective,VA
0,성인가요,1967,903370,나는 곰이다,13,좋,Adjective,VA
0,성인가요,1967,903370,나는 곰이다,14,없,Adjective,VA
0,성인가요,1967,903370,나는 곰이다,16,넓,Adjective,VA
0,성인가요,1967,903370,나는 곰이다,19,~,Adjective,VA
0,성인가요,1967,1661559,대머리 총각,8,빨갛,Adjective,VA
0,성인가요,1967,1589358,돌아가는 삼각지,0,궂,Adjective,VA
0,성인가요,1967,1589358,돌아가는 삼각지,2,외롭,Adjective,VA
0,성인가요,1967,1589358,돌아가는 삼각지,6,눈,Adjective,VA
0,성인가요,1967,1589358,돌아가는 삼각지,6,외롭,Adjective,VA
0,발라드,1967,1125279,돌지않는 풍차,0,밉,Adjective,VA
0,발라드,1967,1125279,돌지않는 풍차,1,없,Adjective,VA
0,발라드,1967,1125279,돌지않는 풍차,7,없,Adjective,VA
0,발라드,1967,1125279,돌지않는 풍차,10,기나길,Adjective,VA
0,성인가요,1967,47664,두메산골,12,답,Adjective,VA
0,성인가요,1967,47664,두메산골,17,련,Adjective,VA
0,성인가요,1967,1661563,뜨거워서 싫어요,6,뜨겁,Adjective,VA
0,성인가요,1967,1661563,뜨거워서 싫어요,9,뜨겁,Adjective,VA
0,성인가요,1967,1661563,뜨거워서 싫어요,9,싫,Adjective,VA
0,성인가요,1967,1661563,뜨거워서 싫어요,20,뜨겁,Adjective,VA
0,성인가요,1967,1661563,뜨거워서 싫어요,20,싫,Adjective,VA
0,성인가요,1967,1125030,마음이 고와야지,0,새까맣,Adjective,VA
0,성인가요,1967,1125030,마음이 고와야지,1,같,Adjective,VA
0,성인가요,1967,1125030,마음이 고와야지,4,곱,Adjective,VA
0,성인가요,1967,1125030,마음이 고와야지,5,예쁘,Adjective,VA
0,성인가요,1967,1125030,마음이 고와야지,9,먼,Adjective,VA
0,성인가요,1967,1125030,마음이 고와야지,12,곱,Adjective,VA
0,성인가요,1967,1125030,마음이 고와야지,13,예쁘,Adjective,VA
0,성인가요,1967,1125030,마음이 고와야지,16,새까맣,Adjective,VA
0,성인가요,1967,1125030,마음이 고와야지,17,같,Adjective,VA
0,성인가요,1967,1125030,마음이 고와야지,20,곱,Adjective,VA
0,성인가요,1967,1125030,마음이 고와야지,21,예쁘,Adjective,VA
0,성인가요,1967,1125030,마음이 고와야지,25,먼,Adjective,VA
0,성인가요,1967,1125030,마음이 고와야지,28,곱,Adjective,VA
0,성인가요,1967,1125030,마음이 고와야지,29,예쁘,Adjective,VA
0,성인가요,1967,2335774,마음이 변하기 전에,4,좋,Adjective,VA
0,성인가요,1967,2335774,마음이 변하기 전에,4,싫,Adjective,VA
0,성인가요,1967,2335774,마음이 변하기 전에,5,아프,Adjective,VA
0,성인가요,1967,2335774,마음이 변하기 전에,12,좋,Adjective,VA
0,성인가요,1967,2335774,마음이 변하기 전에,12,싫,Adjective,VA
0,성인가요,1967,2335774,마음이 변하기 전에,13,아프,Adjective,VA
0,성인가요,1967,3621634,먼데서 왔우다예,4,없,Adjective,VA
0,성인가요,1967,3621634,먼데서 왔우다예,10,없,Adjective,VA
0,성인가요,1967,3621622,못잊어서 또왔네,2,차갑,Adjective,VA
0,성인가요,1967,3621622,못잊어서 또왔네,8,아프,Adjective,VA
0,성인가요,1967,3621622,못잊어서 또왔네,9,기나길,Adjective,VA
0,성인가요,1967,176427,몽땅 내사랑,2,어렵,Adjective,VA
0,성인가요,1967,176427,몽땅 내사랑,3,그렇,Adjective,VA
0,성인가요,1967,176427,몽땅 내사랑,3,흔하,Adjective,VA
0,성인가요,1967,176427,몽땅 내사랑,5,외롭,Adjective,VA
0,성인가요,1967,176427,몽땅 내사랑,5,괴롭,Adjective,VA
0,성인가요,1967,176427,몽땅 내사랑,12,외롭,Adjective,VA
0,성인가요,1967,176427,몽땅 내사랑,12,괴롭,Adjective,VA
0,성인가요,1967,1003822,바보처럼 울었다,0,그렇,Adjective,VA
0,성인가요,1967,1003822,바보처럼 울었다,0,그렇,Adjective,VA
0,성인가요,1967,1185250,빛과 그림자,6,어둡,Adjective,VA
0,성인가요,1967,1185250,빛과 그림자,15,어둡,Adjective,VA
0,성인가요,1967,4588274,사랑을 하면 예뻐져요,0,예쁘,Adjective,VA
0,성인가요,1967,4588274,사랑을 하면 예뻐져요,1,예쁘,Adjective,VA
0,성인가요,1967,4588274,사랑을 하면 예뻐져요,2,못생기,Adjective,VA
0,성인가요,1967,4588274,사랑을 하면 예뻐져요,3,예쁘,Adjective,VA
0,성인가요,1967,4588274,사랑을 하면 예뻐져요,10,예쁘,Adjective,VA
0,성인가요,1967,4588274,사랑을 하면 예뻐져요,13,예쁘,Adjective,VA
0,성인가요,1967,4588274,사랑을 하면 예뻐져요,14,예쁘,Adjective,VA
0,성인가요,1967,4588274,사랑을 하면 예뻐져요,15,예쁘,Adjective,VA
0,성인가요,1967,4588274,사랑을 하면 예뻐져요,16,못생기,Adjective,VA
0,성인가요,1967,4588274,사랑을 하면 예뻐져요,17,예쁘,Adjective,VA
0,성인가요,1967,4588274,사랑을 하면 예뻐져요,24,예쁘,Adjective,VA
